Ticker,PE_Ratio,PB_Ratio,DE_Ratio,PEG_Ratio,FreeCashFlow
LGN,101.34848,,993.559,,
WGS,1337.7777,12.472807,41.274,,20209124.0
CARG,27.944,7.9368324,44.827,,160119376.0
EEFT,11.911724,2.6192715,190.179,,431600000.0
AAPG,23.403053,19.035088,253.905,,36215124.0
NSIT,26.134293,2.1328063,96.282,,167130624.0
ALHC,-33.960785,24.325842,233.853,,44121752.0
INDB,15.396164,0.9455319,,,
EXPO,33.98744,7.985242,18.777,,93405128.0
COMM,57.296295,-1.4036839,,,574800000.0
MLYS,-12.551873,9.129113,0.0,,-122116248.0
FIZZ,18.212122,6.6311145,13.866,,120760000.0
CATY,11.731884,1.1669029,,,
CGON,-24.623596,4.9840803,0.148,,
VLYPO,22.550539,1.9422021,,,
AUGO,7.9339995,21.157331,344.669,,55004500.0
PATK,26.996603,2.8922129,128.371,,217795248.0
FIBK,14.162162,0.9635896,,,
ZLAB,-15.26178,4.0469246,24.175,,-217036992.0
OTTR,11.546392,1.8514146,58.799,,-23654500.0
ONDS,-37.34,21.264236,20.739,,-19208786.0
VSEC,47.538807,3.361654,42.614,,124738496.0
BITF,314.505,5.2946973,11.307,,-235312496.0
GTM,40.84,2.1086328,100.451,,272550016.0
ETOR,17.205357,2.3461375,3.886,,
FULT,10.411765,1.0292493,,,
XENE,-11.764046,5.082525,1.375,,-149782000.0
RELY,260.6667,4.213362,4.231,,305693632.0
FRSH,21.568628,3.2621589,3.658,,231342624.0
FORM,72.77193,3.2307813,3.628,,-29579000.0
MYRG,43.322475,5.4883823,22.962,,116724752.0
APLS,-30.07143,20.38741,300.545,,106216872.0
PCH,77.69812,1.6559434,54.971,,129852496.0
RARE,-6.420744,20.858234,557.793,,-206266128.0
PTON,-24.92,-7.5886054,,,383987488.0
WSBC,18.676136,0.8585832,,,
ARLP,13.483517,1.757628,26.267,,146288256.0
VC,10.987619,2.2149055,29.506,,347249984.0
PLMR,20.666666,3.703657,0.0,,414625888.0
SRRK,-15.188371,13.438271,26.374,,-142852992.0
VLYPP,22.738739,1.958411,,,
IPAR,19.164343,3.6812198,26.451,,82434496.0
AGYS,227.12245,10.9526615,11.972,,48248624.0
TARS,-34.023148,9.326141,21.781,,-57126624.0
SIMO,39.510822,3.8821776,0.0,,-5541375.0
INTA,40.026596,5.9270635,4.346,,124575504.0
IMVT,-5.867987,4.9985948,0.0,,-255923376.0
BLKB,13.623126,34.501083,1328.191,,201228000.0
PRVA,229.18181,4.529285,0.906,,92291376.0
MGEE,23.490278,2.433245,60.799,,-19580376.0
INDV,30.530863,-12.02821,,,255250000.0
NVTS,-69.4762,7.99452,1.912,,33036750.0
CSQ,10.913793,1.1570097,50.212,,1461029.0
BL,38.248062,7.3740845,205.193,,127767128.0
AMRX,974.5,-27.296919,,,333750240.0
AVPT,62.603477,6.859838,4.241,,84578248.0
CHA,21.866667,0.34660578,9.144,,1005823872.0
CNTA,-13.169591,8.742236,34.252,,-87925504.0
HOVNP,,-4.7583117,,,
MCHB,16.25,1.1976836,,,
FHB,12.453368,1.1121651,,,
CENX,26.8625,4.1534595,71.431,,59800000.0
SBCF,18.723927,1.1403378,,,
WSFS,11.658992,1.1144301,,,
KYIV,9.869231,0.1376019,33.825,,
DAVE,58.287037,13.699247,34.727,,5340000.0
AMSC,164.625,8.927603,1.129,,-18359624.0
PLBL,,-163.67348,,,-3424499.0
PPTA,-123.72727,5.5471773,0.013,,-49401396.0
SBET,126.833336,2.2251463,0.0,,508860.0
ODD,28.247057,8.225966,6.506,,94449000.0
JOYY,10.690686,0.44406986,0.507,,
ENVX,-20.249998,12.65625,94.397,,-94511624.0
BRZE,104.2,4.8027287,14.093,,126029000.0
VIAV,86.63333,3.7171052,86.448,,145662496.0
ICUI,17.144949,1.366219,66.404,,247926752.0
METCB,,2.9749444,38.662,,8906750.0
LIVN,14.318918,2.575846,42.996,,852396352.0
MGRC,11.448393,2.4878333,49.221,,173097872.0
KNSA,776.402,5.806177,1.973,,39422876.0
HTFL,-66.20165,-0.2415222,,,
COLM,13.264781,1.708779,29.095,,220759872.0
WB,8.081561,0.7559374,50.729,,
METC,22.994196,7.4751186,38.662,,8906750.0
RXRX,-3.6683815,2.9879003,9.582,,-186021744.0
RNW,27.553572,0.023693917,539.019,,-54028500992.0
NCNO,27.597702,2.6228971,25.252,,120236496.0
CNXC,9.483051,0.640976,132.282,,792606656.0
NMIH,7.5902333,1.1480411,17.582,,221230496.0
ALVO,38.91304,-16.097122,,,-164666496.0
SFNC,14.984253,0.67556536,,,
SUPN,42.78261,2.5952106,2.987,,150124368.0
PTRN,,0.34143832,6.604,,
NTLA,-4.644283,3.7682228,14.343,,-177757504.0
VCYT,102.382355,2.2407467,4.148,,75403872.0
BHF,5.4714284,0.48206174,160.021,,-1421500032.0
MEOH,10.172414,1.04314,128.808,,299904128.0
